x,y,Ma,rho/rho1,p/p1,T/T1
7.794224,17.000000,2.000000,1.000000,1.000000,1.000000
7.794224,18.000000,2.000000,1.000000,1.000000,1.000000
7.794224,19.000000,2.000000,1.000000,1.000000,1.000000
7.794224,20.000000,2.000000,1.000000,1.000000,1.000000
7.794224,21.000000,2.000000,1.000000,1.000000,1.000000
7.794224,22.000000,2.000000,1.000000,1.000000,1.000000
7.794224,23.000000,2.000000,1.000000,1.000000,1.000000
7.794224,24.000000,2.000000,1.000000,1.000000,1.000000
7.794224,25.000000,2.000000,1.000000,1.000000,1.000000
7.794224,26.000000,2.000000,1.000000,1.000000,1.000000
7.794224,27.000000,2.000000,1.000000,1.000000,1.000000
7.794224,28.000000,2.000000,1.000000,1.000000,1.000000
7.794224,29.000000,2.000000,1.000000,1.000000,1.000000
7.794224,30.000000,2.000000,1.000000,1.000000,1.000000
7.794224,31.000000,2.000000,1.000000,1.000000,1.000000
7.794224,32.000000,2.000000,1.000000,1.000000,1.000000
7.794224,33.000000,2.000000,1.000000,1.000000,1.000000
7.794224,34.000000,2.000000,1.000000,1.000000,1.000000
7.794224,35.000000,2.000000,1.000000,1.000000,1.000000
7.794224,36.000000,2.000000,1.000000,1.000000,1.000000
7.794224,37.000000,2.000000,1.000000,1.000000,1.000000
7.794224,38.000000,2.000000,1.000000,1.000000,1.000000
7.794224,39.000000,2.000000,1.000000,1.000000,1.000000
7.794224,40.000000,2.000000,1.000000,1.000000,1.000000
8.660249,0.000000,1.999999,1.000001,1.000001,1.000000
8.660249,1.000000,2.000000,1.000000,1.000001,1.000000
8.660249,2.000000,1.999999,1.000001,1.000001,1.000000
8.660249,3.000000,2.000000,1.000001,1.000001,1.000000
8.660249,4.000000,2.000000,1.000000,1.000001,1.000000
8.660249,5.000000,2.000000,1.000000,1.000000,1.000000
8.660249,6.000000,2.000000,1.000000,1.000000,1.000000
8.660249,7.000000,2.000000,1.000000,1.000000,1.000000
8.660249,8.000000,2.000000,1.000000,1.000000,1.000000
8.660249,9.000000,2.000000,1.000000,1.000000,1.000000
8.660249,10.000000,2.000000,1.000000,1.000000,1.000000
8.660249,11.000000,2.000000,1.000000,1.000000,1.000000
8.660249,12.000000,2.000000,1.000000,1.000000,1.000000
8.660249,13.000000,2.000000,1.000000,1.000000,1.000000
8.660249,14.000000,2.000000,1.000000,1.000000,1.000000
8.660249,15.000000,2.000000,1.000000,1.000000,1.000000
8.660249,16.000000,2.000000,1.000000,1.000000,1.000000
8.660249,17.000000,2.000000,1.000000,1.000000,1.000000
8.660249,18.000000,2.000000,1.000000,1.000000,1.000000
8.660249,19.000000,2.000000,1.000000,1.000000,1.000000
8.660249,20.000000,2.000000,1.000000,1.000000,1.000000
8.660249,21.000000,2.000000,1.000000,1.000000,1.000000
